request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_147,0,not_affordable,not_recommended,none,,none,"No safe option completes the 1129.7 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_148,8958.15,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,Installments of 3 payments totaling 23131.68 starting 2024-06-14 complete the request safely within the permitted duration. The projected minimum balance is 21247.59.
request_149,26055.1,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Installments of 3 payments totaling 38118.09 starting 2025-11-18 complete the request safely within the permitted duration. The projected minimum balance is 57268.82.
request_150,404.77,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,stop:event_13785,Installments of 3 payments totaling 515.94 starting 2026-01-06 complete the request safely within the permitted duration. The projected minimum balance is 709.53.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Full payment of 26999000 is safe on 2024-09-03 while preserving the required minimum balance. The projected minimum balance is 35846330.53.
request_152,12485.52,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Installments of 3 payments totaling 14437.29 starting 2025-02-12 complete the request safely within the permitted duration. The projected minimum balance is 18749.42.
request_153,310.84,not_affordable,not_recommended,none,,none,"No safe option completes the 2830.8 request within the forecast horizon. The amount safe to pay today is 310.84, which cannot be completed safely with any available payment plan."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Installments of 3 payments totaling 1690.83 starting 2024-12-04 complete the request safely within the permitted duration. The projected minimum balance is 3506.7.
request_155,104706.9,not_affordable,not_recommended,none,2025-06-15,none,No safe option completes the 112500 request by the desired date. The amount safe to pay today is 104706.9.
request_156,9533.6,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Wait until 2026-05-15 to make the full payment of 43076, preserving the required minimum balance. The projected minimum balance is 27776.79."
request_157,6968905.82,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 2024-05-15 to make the full payment of 23503000, preserving the required minimum balance. The projected minimum balance is 22683005.82."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Installments of 3 payments totaling 252303.99 starting 2025-08-07 complete the request safely within the permitted duration. The projected minimum balance is 165408.53.
request_159,2575.64,not_affordable,not_recommended,none,,none,"No safe option completes the 13398 request within the forecast horizon. The amount safe to pay today is 2575.64, which cannot be completed safely with any available payment plan."
request_160,658.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Installments of 3 payments totaling 1296.15 starting 2024-06-13 complete the request safely within the permitted duration. The projected minimum balance is 1426.56.
request_161,0,not_affordable,not_recommended,none,,none,"No safe option completes the 21204000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_162,0,not_affordable,not_recommended,none,,none,"No safe option completes the 83923000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_163,12725294.08,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,Installments of 3 payments totaling 20076159.99 starting 2024-09-10 complete the request safely within the permitted duration. The projected minimum balance is 32761940.75.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Installments of 3 payments totaling 28098720 starting 2025-02-11 complete the request safely within the permitted duration. The projected minimum balance is 53159417.88.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Full payment of 80600 is safe on 2026-04-06 while preserving the required minimum balance. The projected minimum balance is 123198.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Installments of 3 payments totaling 3023.91 starting 2024-12-03 complete the request safely within the permitted duration. The projected minimum balance is 2290.56.
request_167,0,not_affordable,not_recommended,none,,none,"No safe option completes the 43802 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_168,40081.96,affordable_with_plan,partial_payment,2026-01-07:40081.96|2026-03-15:9298.04,2026-03-15,none,"A partial payment of 40081.96 is safe now, with the remainder of 9298.04 scheduled for 2026-03-15. The projected minimum balance is 114400."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Full payment of 41976 is safe on 2024-03-04 while preserving the required minimum balance. The projected minimum balance is 28611.92.
request_170,34940342.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Installments of 3 payments totaling 38413440 starting 2025-08-06 complete the request safely within the permitted duration. The projected minimum balance is 46851662.64.
request_171,114.07,not_affordable,not_recommended,none,,none,"No safe option completes the 1878.8 request within the forecast horizon. The amount safe to pay today is 114.07, which cannot be completed safely with any available payment plan."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Installments of 2 payments totaling 10608 starting 2024-06-05 complete the request safely within the permitted duration. The projected minimum balance is 33847.08.
request_173,71396.3,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,Installments of 3 payments totaling 117519.99 starting 2025-11-21 complete the request safely within the permitted duration. The projected minimum balance is 150496.3.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Installments of 3 payments totaling 1192.05 starting 2026-04-04 complete the request safely within the permitted duration. The projected minimum balance is 961.34.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Full payment of 2346.3 is safe on 2024-09-06 while preserving the required minimum balance. The projected minimum balance is 2068.5.
request_176,300.03,not_affordable,not_recommended,none,,none,"No safe option completes the 1239.7 request within the forecast horizon. The amount safe to pay today is 300.03, which cannot be completed safely with any available payment plan."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Full payment of 1017.6 is safe on 2026-01-05 while preserving the required minimum balance. The projected minimum balance is 1745.91.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Installments of 3 payments totaling 3055.62 starting 2024-12-07 complete the request safely within the permitted duration. The projected minimum balance is 1879.26.
request_179,14294214.16,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Wait until 2025-06-15 to make the full payment of 41648000, preserving the required minimum balance. The projected minimum balance is 45076688.66."
request_180,0,not_affordable,not_recommended,none,,none,"No safe option completes the 66500 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_181,524.85,not_affordable,not_recommended,none,,none,"No safe option completes the 5059.2 request within the forecast horizon. The amount safe to pay today is 524.85, which cannot be completed safely with any available payment plan."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Full payment of 65714 is safe on 2025-08-05 while preserving the required minimum balance. The projected minimum balance is 46022.16.
request_183,26451222.5,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,Installments of 3 payments totaling 27940640.01 starting 2026-04-10 complete the request safely within the permitted duration. The projected minimum balance is 28700320.75.
request_184,21695.09,not_affordable,not_recommended,none,,none,"No safe option completes the 251900 request within the forecast horizon. The amount safe to pay today is 21695.09, which cannot be completed safely with any available payment plan."
request_185,554.31,affordable_later,wait,2025-12-15:1257.30,2025-12-15,none,"Wait until 2025-12-15 to make the full payment of 1257.3, preserving the required minimum balance. The projected minimum balance is 1743.3."
request_186,8650.61,not_affordable,not_recommended,none,,none,"No safe option completes the 26554 request within the forecast horizon. The amount safe to pay today is 8650.61, which cannot be completed safely with any available payment plan."
request_187,47521.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Wait until 2024-10-15 to make the full payment of 187500, preserving the required minimum balance. The projected minimum balance is 169295.61."
request_188,194.33,not_affordable,not_recommended,none,,none,"No safe option completes the 2464 request within the forecast horizon. The amount safe to pay today is 194.33, which cannot be completed safely with any available payment plan."
request_189,435.94,not_affordable,not_recommended,none,2026-08-15,none,No safe option completes the 488.4 request by the desired date. The amount safe to pay today is 435.94.
request_190,910.67,affordable_later,wait,2025-01-15:2557.50,2025-01-15,none,"Wait until 2025-01-15 to make the full payment of 2557.5, preserving the required minimum balance. The projected minimum balance is 1785.01."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Full payment of 664.4 is safe on 2025-05-03 while preserving the required minimum balance. The projected minimum balance is 675.73.
request_192,198.15,not_affordable,not_recommended,none,,none,"No safe option completes the 2046 request within the forecast horizon. The amount safe to pay today is 198.15, which cannot be completed safely with any available payment plan."
request_193,138.7,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,Installments of 3 payments totaling 1260.69 starting 2024-03-21 complete the request safely within the permitted duration. The projected minimum balance is 1138.7.
request_194,0,not_affordable,not_recommended,none,,none,"No safe option completes the 132800 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_195,1107.67,not_affordable,not_recommended,none,2026-03-15,none,No safe option completes the 1170.4 request by the desired date. The amount safe to pay today is 1107.67.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Full payment of 762.3 is safe on 2024-06-03 while preserving the required minimum balance. The projected minimum balance is 704.34.
request_197,0,not_affordable,not_recommended,none,,none,"No safe option completes the 50939000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Full payment of 185800 is safe on 2026-07-07 while preserving the required minimum balance. The projected minimum balance is 174305.64.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Installments of 3 payments totaling 24620960.01 starting 2024-09-07 complete the request safely within the permitted duration. The projected minimum balance is 123507957.46.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Full payment of 21717000 is safe on 2025-02-06 while preserving the required minimum balance. The projected minimum balance is 27319624.62.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Full payment of 23997000 is safe on 2026-04-03 while preserving the required minimum balance. The projected minimum balance is 51745882.68.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Full payment of 123900 is safe on 2024-12-05 while preserving the required minimum balance. The projected minimum balance is 184829.54.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Installments of 3 payments totaling 1499.79 starting 2025-05-10 complete the request safely within the permitted duration. The projected minimum balance is 1672.85.
request_204,0,not_affordable,not_recommended,none,,none,"No safe option completes the 588.74 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Full payment of 10621000 is safe on 2024-03-06 while preserving the required minimum balance. The projected minimum balance is 18073007.71.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Installments of 3 payments totaling 1460.88 starting 2025-08-03 complete the request safely within the permitted duration. The projected minimum balance is 1738.49.
request_207,6737.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15 to make the full payment of 11830, preserving the required minimum balance. The projected minimum balance is 20337.41."
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Full payment of 4413000 is safe on 2024-06-07 while preserving the required minimum balance. The projected minimum balance is 10933324.43.
request_209,3034.53,not_affordable,not_recommended,none,,none,"No safe option completes the 56914 request within the forecast horizon. The amount safe to pay today is 3034.53, which cannot be completed safely with any available payment plan."
request_210,1115.14,affordable_with_plan,partial_payment,2026-04-06:1115.14|2026-04-15:244.88,2026-04-15,none,"A partial payment of 1115.14 is safe now, with the remainder of 244.88 scheduled for 2026-04-15. The projected minimum balance is 2000."
request_211,346.16,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Wait until 2024-11-15 to make the full payment of 1788.6, preserving the required minimum balance. The projected minimum balance is 1846.16."
request_212,0,not_affordable,not_recommended,none,,none,"No safe option completes the 71934000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Installments of 3 payments totaling 3496.89 starting 2026-01-21 complete the request safely within the permitted duration. The projected minimum balance is 3679.65.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Installments of 2 payments totaling 72540 starting 2024-12-04 complete the request safely within the permitted duration. The projected minimum balance is 217547.16.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Installments of 3 payments totaling 31185.45 starting 2025-05-09 complete the request safely within the permitted duration. The projected minimum balance is 30942.71.
request_216,0,not_affordable,not_recommended,none,,none,"No safe option completes the 3332.4 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_217,22792.41,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,Installments of 3 payments totaling 38667.21 starting 2024-03-19 complete the request safely within the permitted duration. The projected minimum balance is 39238.89.
request_218,26419759.72,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Installments of 3 payments totaling 63587679.99 starting 2025-08-07 complete the request safely within the permitted duration. The projected minimum balance is 39701066.39.
request_219,0,not_affordable,not_recommended,none,,none,"No safe option completes the 1673.1 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_220,185.03,not_affordable,not_recommended,none,,none,"No safe option completes the 3118.5 request within the forecast horizon. The amount safe to pay today is 185.03, which cannot be completed safely with any available payment plan."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Full payment of 109800 is safe on 2025-11-03 while preserving the required minimum balance. The projected minimum balance is 104502.97.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Full payment of 34078 is safe on 2026-01-05 while preserving the required minimum balance. The projected minimum balance is 37343.72.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Full payment of 898.7 is safe on 2024-09-07 while preserving the required minimum balance. The projected minimum balance is 1061.95.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Installments of 2 payments totaling 10740080 starting 2025-02-04 complete the request safely within the permitted duration. The projected minimum balance is 27527570.68.
request_225,13370213.3,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,Installments of 3 payments totaling 22941360 starting 2026-07-20 complete the request safely within the permitted duration. The projected minimum balance is 30207900.56.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Full payment of 157000 is safe on 2024-12-03 while preserving the required minimum balance. The projected minimum balance is 269863.79.
request_227,12861.34,not_affordable,not_recommended,none,,none,"No safe option completes the 259700 request within the forecast horizon. The amount safe to pay today is 12861.34, which cannot be completed safely with any available payment plan."
request_228,0,not_affordable,not_recommended,none,,none,"No safe option completes the 63327000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Installments of 3 payments totaling 1587.87 starting 2024-03-18 complete the request safely within the permitted duration. The projected minimum balance is 1550.76.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Full payment of 3537.6 is safe on 2025-08-06 while preserving the required minimum balance. The projected minimum balance is 4207.5.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Installments of 3 payments totaling 37134.24 starting 2026-01-06 complete the request safely within the permitted duration. The projected minimum balance is 51957.38.
request_232,0,not_affordable,not_recommended,none,,none,"No safe option completes the 1970.1 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_233,0,not_affordable,not_recommended,none,,none,"No safe option completes the 6241000 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_234,341.35,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,"Wait until 2026-08-15 to make the full payment of 1213.3, preserving the required minimum balance. The projected minimum balance is 1041.35."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Full payment of 967.2 is safe on 2024-09-06 while preserving the required minimum balance. The projected minimum balance is 941.05.
request_236,7443718.01,not_affordable,not_recommended,none,2025-04-15,none,No safe option completes the 52383000 request by the desired date. The amount safe to pay today is 7443718.01.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Full payment of 23826000 is safe on 2026-04-05 while preserving the required minimum balance. The projected minimum balance is 34527531.94.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Installments of 3 payments totaling 690.15 starting 2024-12-07 complete the request safely within the permitted duration. The projected minimum balance is 1484.18.
request_239,63.14,not_affordable,not_recommended,none,,none,"No safe option completes the 642 request within the forecast horizon. The amount safe to pay today is 63.14, which cannot be completed safely with any available payment plan."
request_240,0,not_affordable,not_recommended,none,,none,"No safe option completes the 101200 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Installments of 3 payments totaling 21894080.01 starting 2024-03-17 complete the request safely within the permitted duration. The projected minimum balance is 36026564.77.
request_242,0,not_affordable,not_recommended,none,,none,"No safe option completes the 1966.8 request within the forecast horizon. The amount safe to pay today is 0, which cannot be completed safely with any available payment plan."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Full payment of 17468 is safe on 2026-07-07 while preserving the required minimum balance. The projected minimum balance is 25763.6.
request_244,24526.01,not_affordable,not_recommended,none,,none,"No safe option completes the 49918 request within the forecast horizon. The amount safe to pay today is 24526.01, which cannot be completed safely with any available payment plan."
request_245,40922.52,affordable_later,wait,2025-12-15:128500,2025-12-15,none,"Wait until 2025-12-15 to make the full payment of 128500, preserving the required minimum balance. The projected minimum balance is 135522.52."
